id,question,answer,category,type,difficulty,source_line,tags
1,""" Trapezius upper Nerve: [Spinal accessory] Roots: [BLANK] "" - What goes in the blank?","Spinal accessory - "" Muscle Test - Initial Position Patient sitting, and shrugs and retracts the shoulders. Muscle Test - Final Position Examiner forcefully depresses the shoulders. SCI pt's can Nod! """,Muscle Anatomy,Cloze,Easy,4,muscle_anatomy;easy
2,""" Trapezius upper Nerve: [C3, C4::2] Roots: [BLANK] "" - What goes in the blank?","C3, C4::2 - "" Muscle Test - Initial Position Patient sitting, and shrugs and retracts the shoulders. Muscle Test - Final Position Examiner forcefully depresses the shoulders. SCI pt's can Nod! """,Muscle Anatomy,Cloze,Easy,4,muscle_anatomy;easy
3,""" Rhomboid Major and minor Nerve: [Dorsal scapular] Root: [BLANK] "" - What goes in the blank?","Dorsal scapular - "" Muscle Test - Initial Position Patient prone, lifts hand away from buttocks. (off butt toward celing) Muscle Test - Final Position Examiner forces arm into an anterior direction. (humerus down toward the bed) """,Muscle Anatomy,Cloze,Easy,5,muscle_anatomy;easy
4,""" Rhomboid Major and minor Nerve: [C5::1] Root: [BLANK] "" - What goes in the blank?","C5::1 - "" Muscle Test - Initial Position Patient prone, lifts hand away from buttocks. (off butt toward celing) Muscle Test - Final Position Examiner forces arm into an anterior direction. (humerus down toward the bed) """,Muscle Anatomy,Cloze,Easy,5,muscle_anatomy;easy
5,""" Pectoralis major and minor Nerve: [Lateral pectoral; Medial pectoral::2] Roots: [BLANK] "" - What goes in the blank?","Lateral pectoral; Medial pectoral::2 - "" Muscle Test - Initial Position Patient sitting or supine, and flexes arm. Muscle Test - Final Position Examiner forces the flexed arm into horizontal abduction. (pull it backwards) Trunks: Upper, Middle, & Lower Divisions: Anterior Cords: Lateral & Medial",Muscle Anatomy,Cloze,Easy,14,muscle_anatomy;easy
6,""" Pectoralis major and minor Nerve: [C5 , C6 , C7, C8 , T1::] Roots: [BLANK] "" - What goes in the blank?","C5 , C6 , C7, C8 , T1:: - "" Muscle Test - Initial Position Patient sitting or supine, and flexes arm. Muscle Test - Final Position Examiner forces the flexed arm into horizontal abduction. (pull it backwards) Trunks: Upper, Middle, & Lower Divisions: Anterior Cords: Lateral & Medial",Muscle Anatomy,Cloze,Easy,14,muscle_anatomy;easy
7,""" Latissimus dorsi Nerve: [Thoracodorsal] Roots: [BLANK] "" - What goes in the blank?","Thoracodorsal - "" Muscle Test - Initial Position Patient extends arm Muscle Test - Final Position Examiner forces arm in an anterior direction. Trunks: Upper, Middle, & Lower Divisions: Posterior Cords: Posterior """,Muscle Anatomy,Cloze,Easy,31,muscle_anatomy;easy
8,""" Latissimus dorsi Nerve: [C6 , C7 , C8::3] Roots: [BLANK] "" - What goes in the blank?","C6 , C7 , C8::3 - "" Muscle Test - Initial Position Patient extends arm Muscle Test - Final Position Examiner forces arm in an anterior direction. Trunks: Upper, Middle, & Lower Divisions: Posterior Cords: Posterior """,Muscle Anatomy,Cloze,Easy,31,muscle_anatomy;easy
9,""" Supra-spinatus & infra-spinatus & teres minor Nerve: [Suprascapular, Suprascapular, Axillary::3] Roots: [BLANK] "" - What goes in the blank?","Suprascapular, Suprascapular, Axillary::3 - "" Muscle Test - Final Position Examiner forces arm into internal rotation by holding the elbow at the side with one hand and pushing in on the wrist with the other. Trunks: Upper """,Muscle Anatomy,Cloze,Easy,32,muscle_anatomy;easy
10,""" Supra-spinatus & infra-spinatus & teres minor Nerve: [C5 , C6::2] Roots: [BLANK] "" - What goes in the blank?","C5 , C6::2 - "" Muscle Test - Final Position Examiner forces arm into internal rotation by holding the elbow at the side with one hand and pushing in on the wrist with the other. Trunks: Upper """,Muscle Anatomy,Cloze,Easy,32,muscle_anatomy;easy
11,""" Deltoid Nerve: [Axillary] Roots: [BLANK] "" - What goes in the blank?","Axillary - "" Muscle Test - Final Position Examiner pushes arm out of abduction with elbow flexed. Trunks: Upper Divisions: Posterior Cords: Posterior """,Muscle Anatomy,Cloze,Easy,33,muscle_anatomy;easy
12,""" Deltoid Nerve: [C5 , C6::2] Roots: [BLANK] "" - What goes in the blank?","C5 , C6::2 - "" Muscle Test - Final Position Examiner pushes arm out of abduction with elbow flexed. Trunks: Upper Divisions: Posterior Cords: Posterior """,Muscle Anatomy,Cloze,Easy,33,muscle_anatomy;easy
13,""" Biceps & Brachialis Nerve: [Musculocutaneous. """"70% have dual radial n. (brachialis)""""] Roots: [BLANK] "" - What goes in the blank?","Musculocutaneous. """"70% have dual radial n. (brachialis)"""" - "" Trunks: Upper Divisions: Anterior Cords: Lateral """,Muscle Anatomy,Cloze,Easy,34,muscle_anatomy;easy
14,""" Biceps & Brachialis Nerve: [C5 , C6::2] Roots: [BLANK] "" - What goes in the blank?","C5 , C6::2 - "" Trunks: Upper Divisions: Anterior Cords: Lateral """,Muscle Anatomy,Cloze,Easy,34,muscle_anatomy;easy
15,""" Brachioradialis Nerve: [Radial] Roots: [BLANK] "" - What goes in the blank?","Radial - "" Muscle Test - Final Position Examiner forces the forearm into extension. The examiner judges force of BR contraction by comparing the right to the left muscle bulk and tone. Trunks: Upper Divisions: Posterior Cords: Posterior """,Muscle Anatomy,Cloze,Easy,35,muscle_anatomy;easy
16,""" Brachioradialis Nerve: [C5 , C6 ::2] Roots: [BLANK] "" - What goes in the blank?","C5 , C6 ::2 - "" Muscle Test - Final Position Examiner forces the forearm into extension. The examiner judges force of BR contraction by comparing the right to the left muscle bulk and tone. Trunks: Upper Divisions: Posterior Cords: Posterior """,Muscle Anatomy,Cloze,Easy,35,muscle_anatomy;easy
17,""" Extensor carpi radialis Nerve: [Radial] Roots: [BLANK] "" - What goes in the blank?","Radial - "" Muscle Test - Final Position Examiner forces wrist into flexion and ulnar deviation supporting forearm just above wrist Trunks: Upper and Middle Divisions: Posterior Cords: Posterior """,Muscle Anatomy,Cloze,Easy,36,muscle_anatomy;easy
18,""" Extensor carpi radialis Nerve: [C6 , C7::2] Roots: [BLANK] "" - What goes in the blank?","C6 , C7::2 - "" Muscle Test - Final Position Examiner forces wrist into flexion and ulnar deviation supporting forearm just above wrist Trunks: Upper and Middle Divisions: Posterior Cords: Posterior """,Muscle Anatomy,Cloze,Easy,36,muscle_anatomy;easy
19,""" Triceps Nerve: [Radial] Roots: [BLANK] "" - What goes in the blank?","Radial - "" Trunks: Upper, middle, and lower Divisions: Posterior Cords: Posterior """,Muscle Anatomy,Cloze,Easy,37,muscle_anatomy;easy
20,""" Triceps Nerve: [C6 , C7 , C8::3] Roots: [BLANK] "" - What goes in the blank?","C6 , C7 , C8::3 - "" Trunks: Upper, middle, and lower Divisions: Posterior Cords: Posterior """,Muscle Anatomy,Cloze,Easy,37,muscle_anatomy;easy
21,""" Pronator teres Nerve: [Median] Roots: [BLANK] "" - What goes in the blank?","Median - "" Muscle Test - Final Position Examiner grasps distal forearm at wrist and forces forearm into supination. Trunks: Upper & Middle Divisions: Anterior Cords: Lateral """,Muscle Anatomy,Cloze,Easy,38,muscle_anatomy;easy
22,""" Pronator teres Nerve: [C6 , C7::2] Roots: [BLANK] "" - What goes in the blank?","C6 , C7::2 - "" Muscle Test - Final Position Examiner grasps distal forearm at wrist and forces forearm into supination. Trunks: Upper & Middle Divisions: Anterior Cords: Lateral """,Muscle Anatomy,Cloze,Easy,38,muscle_anatomy;easy
23,""" Flexor carpi radialis Nerve: [Median] Nerve Roots: [BLANK] "" - What goes in the blank?","Median - "" Muscle Test - Final Position Examiner forces wrist into extension and ulnar deviation supporting forearm just above wrist with one hand Trunks: Upper & Middle Divisions: Anterior Cords: Lateral """,Muscle Anatomy,Cloze,Easy,39,muscle_anatomy;easy
24,""" Flexor carpi radialis Nerve: [C6 , C7 ::2] Nerve Roots: [BLANK] "" - What goes in the blank?","C6 , C7 ::2 - "" Muscle Test - Final Position Examiner forces wrist into extension and ulnar deviation supporting forearm just above wrist with one hand Trunks: Upper & Middle Divisions: Anterior Cords: Lateral """,Muscle Anatomy,Cloze,Easy,39,muscle_anatomy;easy
25,""" Extensor digitorum longus / Indicis / digit minimi Nerve: [Radial (Posterior interosseous branch)] Roots: [BLANK] "" - What goes in the blank?","Radial (Posterior interosseous branch) - "" Muscle Test - Initial Position Patient extends proximal phalanx. Examiner forces proximal phalanx into flexion. Trunks: Middle & Lower Divisions: Posterior Cords: Posterior """,Muscle Anatomy,Cloze,Easy,40,muscle_anatomy;easy
26,""" Extensor digitorum longus / Indicis / digit minimi Nerve: [C7 , C8::2] Roots: [BLANK] "" - What goes in the blank?","C7 , C8::2 - "" Muscle Test - Initial Position Patient extends proximal phalanx. Examiner forces proximal phalanx into flexion. Trunks: Middle & Lower Divisions: Posterior Cords: Posterior """,Muscle Anatomy,Cloze,Easy,40,muscle_anatomy;easy
27,""" Flexor digitorum profundus Nerve: Digits 2 & 3 [Ant. interosseous branch of median] Digits 4 & 5 [BLANK] Roots: [BLANK] "" - What goes in the blank?","Ant. interosseous branch of median - "" Muscle Test - Final Position Examiner holds proximal and middle phalanx with the index and long fingers and thumb of one hand and forces distal phalanx of the index finger into extension with the thumb of the other hand. pt flexes Trunks: Middle & Lower. Divisions: Anterior. Cords: Lateral & Media",Muscle Anatomy,Cloze,Easy,41,muscle_anatomy;easy
28,""" Flexor digitorum profundus Nerve: Digits 2 & 3 [Ulnar] Digits 4 & 5 [BLANK] Roots: [BLANK] "" - What goes in the blank?","Ulnar - "" Muscle Test - Final Position Examiner holds proximal and middle phalanx with the index and long fingers and thumb of one hand and forces distal phalanx of the index finger into extension with the thumb of the other hand. pt flexes Trunks: Middle & Lower. Divisions: Anterior. Cords: Lateral & Media",Muscle Anatomy,Cloze,Easy,41,muscle_anatomy;easy
29,""" Flexor digitorum profundus Nerve: Digits 2 & 3 [C7 , C8 , T1::3] Digits 4 & 5 [BLANK] Roots: [BLANK] "" - What goes in the blank?","C7 , C8 , T1::3 - "" Muscle Test - Final Position Examiner holds proximal and middle phalanx with the index and long fingers and thumb of one hand and forces distal phalanx of the index finger into extension with the thumb of the other hand. pt flexes Trunks: Middle & Lower. Divisions: Anterior. Cords: Lateral & Media",Muscle Anatomy,Cloze,Easy,41,muscle_anatomy;easy
30,""" [Flexor digitorum superficialis] Nerve: [BLANK] Roots: [BLANK] "" - What goes in the blank?","Flexor digitorum superficialis - "" Muscle Test - Final Position Examiner holds all the fingers, except for the finger being tested, in firm extension (at the MP, PIP and DIP joints). Pt unable to flex the DIP joint. Examiner forces the PIP joint into extension. reliabe only on the 3rd and 4rth digits. Trunks: Middle & Lower (confli",Muscle Anatomy,Cloze,Easy,42,muscle_anatomy;easy
31,""" [Median] Nerve: [BLANK] Roots: [BLANK] "" - What goes in the blank?","Median - "" Muscle Test - Final Position Examiner holds all the fingers, except for the finger being tested, in firm extension (at the MP, PIP and DIP joints). Pt unable to flex the DIP joint. Examiner forces the PIP joint into extension. reliabe only on the 3rd and 4rth digits. Trunks: Middle & Lower (confli",Muscle Anatomy,Cloze,Easy,42,muscle_anatomy;easy
32,""" [C7 , C8 , T1::3] Nerve: [BLANK] Roots: [BLANK] "" - What goes in the blank?","C7 , C8 , T1::3 - "" Muscle Test - Final Position Examiner holds all the fingers, except for the finger being tested, in firm extension (at the MP, PIP and DIP joints). Pt unable to flex the DIP joint. Examiner forces the PIP joint into extension. reliabe only on the 3rd and 4rth digits. Trunks: Middle & Lower (confli",Muscle Anatomy,Cloze,Easy,42,muscle_anatomy;easy
